plot,Nsp,tp,Trange,mnNiBr,mnIntraSlope,min.aT,max.aT,tval.low,tval.hi,lowbound.sp,hibound.sp
1,12,1.26297358450564,3.81156160151306,0.302348786579337,4.00660572523728e-16,-2.56400358016962,1.38180099402639,-1.30102999566398,2.51053160584908,0,1
2,4,0.80414907765879,0.957319896855341,0.71634892943302,1.73284194866993e-16,-0.707239064650734,0.899129585583306,0.0969100130080564,1.0542299098634,1,1
3,7,0.0691923665127331,1.98885611356616,0.715589674711844,1.05378126284513e-16,-0.79897057899532,1.04849725818908,-0.823908740944319,1.16494737262184,1,1
4,12,0.333836245079678,1.80806085384844,0.51397690287706,-7.00144746622603e-17,-1.07856373997637,0.772557365095554,-0.744727494896694,1.06333335895175,1,1
5,10,0.684199530765182,1.314936747108,0.518501425503951,-1.47518665836973e-17,-0.515064707266,0.6025101787096,-0.200659450546418,1.11427729656159,1,1
6,10,-0.012202068739995,3.18723861983148,0.539015034394757,-5.99975637856593e-17,-1.38573793993204,1.80150067989944,-1.39794000867204,1.78929861115944,1,1
7,9,0.687570923634871,1.75885784542113,0.474861296248137,-7.6666892282438e-17,-0.587739445545892,1.04849725818908,-0.2518119729938,1.50704587242733,1,1
8,13,0.063838773671031,1.98885611356616,0.437327265461685,1.0185862911143e-16,-0.79897057899532,1.04849725818908,-0.823908740944319,1.16494737262184,1,0
9,15,0.102462774055242,2.17897694729317,0.332122381017905,3.60191954591309e-17,-1.22820909982372,0.899129585583306,-1.15490195998574,1.02407498730743,1,0
10,9,-0.207296933087191,2.17897694729317,0.695355791773526,-4.29535221811167e-17,-1.22820909982372,0.899129585583306,-1.15490195998574,1.02407498730743,1,0
11,15,0.568071945784316,2.35724163938017,0.320244640459602,-1.47230340150395e-16,-1.14259337296418,1.13159237441806,-0.657577319177794,1.69966432020237,1,1
12,19,0.381873683641377,2.79359084667587,0.250563359781683,-7.00136118744474e-17,-1.53677564362712,1.25681520304875,-1.15490195998574,1.63868888669012,1,0
13,19,0.411329674022219,2.99301515961258,0.144335500067573,-3.35200857895056e-16,-1.07986738648203,1.92410816641256,-0.657577319177794,2.33543784043478,0,1
14,9,0.532900742865465,2.78634572899892,0.315955962918078,5.86713174891406e-17,-1.22820909982372,1.09854302614771,-1.15490195998574,1.63144376901317,1,0
15,9,0.840424388235651,2.40968621941435,0.337486161663797,4.76044169067511e-16,-0.690059023273511,1.38180099402639,-0.0506099933550872,2.35907622605926,0,1
